StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      102,      00,   189504,   1.62,   47.8,  -1.82,  -1.82,  -2.76,  -1.82,      2,    505,  -1.22,  -1.99,  -2.29, -99.99, -99.99, -99.99, -99.99,   34.9,   60.8,
      108,      00,   189504,   1.96,   44.3,  -1.26,  -1.26,   -.81,  -1.26,      0,    490,   -.52,   -.67,  -1.54, -99.99, -99.99, -99.99, -99.99,   31.3,   57.3,
      104,      00,   189504,   5.05,   61.1,   1.57,   1.57,   1.87,   1.57,     59,    154,   1.04,    .97,    .35, -99.99, -99.99, -99.99, -99.99,   49.7,   72.5,
      105,      00,   189505,    2.1,   51.9,   2.27,   2.27,   -.25,   1.99,     31,    343,   -.56,   -.57,   -.74, -99.99, -99.99, -99.99, -99.99,   38.4,   65.4,
      104,      00,   189505,   4.31,   68.3,    1.7,    1.7,    .89,    1.7,    177,     51,    .42,    .97,    .95, -99.99, -99.99, -99.99, -99.99,   57.3,   79.2,
      108,      00,   189505,   3.18,   49.4,    .69,    .69,   2.07,    .69,      1,    366,    1.1,    .52,   -.01, -99.99, -99.99, -99.99, -99.99,   37.1,   61.6,
      102,      00,   189505,   3.36,   56.8,  -1.75,  -1.75,   -.35,  -1.75,     31,    256,   -.06,   -.74,  -1.37, -99.99, -99.99, -99.99, -99.99,   43.5,     70,
      101,      00,   189505,   2.66,   57.1,  -1.64,  -1.64,  -1.95,  -1.64,     17,    211,   -.86,   -.42,   -1.1, -99.99, -99.99, -99.99, -99.99,   44.7,   69.5,
      109,      00,   189505,   1.39,   58.8,   1.77,   1.77,   1.47,   1.77,     42,    167,    .91,    .26,   -.04, -99.99, -99.99, -99.99, -99.99,   45.3,   72.3,
      107,      00,   189505,   1.75,   58.4,   2.84,   2.84,   3.62,   2.84,     15,    222,   1.38,    .12,   -.33, -99.99, -99.99, -99.99, -99.99,   43.9,   72.9,
      103,      00,   189505,   2.77,     63,  -2.31,  -2.31,  -1.92,  -2.31,     69,    155,  -1.13,  -1.57,  -1.66, -99.99, -99.99, -99.99, -99.99,   50.6,   75.4,
      106,      00,   189505,   4.14,   69.2,    .06,    .06,    .17,   -.79,    200,     18,     .2,   -.76,   -.88, -99.99, -99.99, -99.99, -99.99,   56.9,   81.4,
      101,      00,   189506,   3.29,   67.2,  -2.01,  -2.01,  -1.63,  -2.01,    141,     17,   -.48,   -.97,   -.65,   -1.4, -99.99, -99.99, -99.99,     55,   79.3,
      102,      00,   189506,   3.69,   65.8,   -1.8,   -1.8,   -.69,   -1.8,    129,     51,    -.3,   -.33,   -.76,  -1.31, -99.99, -99.99, -99.99,   52.9,   78.6,
      109,      00,   189506,    .06,   66.2,   -.04,   1.54,   -.13,   1.41,    101,     62,  -1.36,    .24,   -.14,    .69, -99.99, -99.99, -99.99,   50.7,   81.8,
      103,      00,   189506,    3.6,   73.5,  -2.45,  -2.45,  -1.13,  -2.45,    249,      9,   -.53,  -1.08,  -1.42,  -1.71, -99.99, -99.99, -99.99,   60.9,   86.1,
      108,      00,   189506,    .53,   56.1,   -.63,   -.63,  -1.89,   -.63,     12,    186,  -1.82,   -.09,   -.35,   -.52, -99.99, -99.99, -99.99,   42.1,     70,
      107,      00,   189506,     .9,   65.1,   3.53,   3.53,   2.95,   3.53,     45,    113,    .12,   1.02,    .09,    .45, -99.99, -99.99, -99.99,   49.7,   80.4,
      104,      00,   189506,   4.38,   76.8,   -.12,    1.4,   -.37,   1.14,    362,      1,   -.37,   -.03,    .57,    .86, -99.99, -99.99, -99.99,   65.4,   88.2,
      106,      00,   189506,   4.85,     77,    .77,    .77,   2.16,    .77,    405,      1,   1.03,     .8,    .04,   -.29, -99.99, -99.99, -99.99,   65.7,   88.4,
      105,      00,   189506,   3.62,   58.1,   2.92,   2.92,   2.64,   2.92,     81,    186,    .78,    .13,    .06,    .32, -99.99, -99.99, -99.99,     45,   71.2,
      105,      00,   189507,   1.53,   65.6,      3,      3,   1.14,      3,    156,     73,   -.68,    .19,   -.22,   -.34, -99.99, -99.99, -99.99,     51,   80.3,
      108,      00,   189507,    .61,   62.2,   -.68,   -.68,   -.33,   -.68,     44,     97,    .04,  -1.56,   -.13,  -1.39, -99.99, -99.99, -99.99,   47.9,   76.6,
      102,      00,   189507,   2.71,   67.3,  -1.86,  -1.86,   -.75,  -1.86,    137,     34,   -.88,   -.85,   -.74,  -1.64, -99.99, -99.99, -99.99,   53.8,   80.7,
      103,      00,   189507,   5.24,   73.2,  -1.52,  -1.52,   2.02,   -.59,    241,      7,   1.12,    .28,   -.45,  -1.53, -99.99, -99.99, -99.99,   61.9,   84.4,
      109,      00,   189507,    .14,   71.7,   -.17,   1.25,   -.41,    .84,    168,     17,   -.98,   -1.8,   -.02,   -.48, -99.99, -99.99, -99.99,     57,   86.3,
      101,      00,   189507,   3.23,   65.7,  -2.07,  -2.07,   -.81,  -2.07,    116,     25,    -.8,   -.85,  -1.18,  -1.82, -99.99, -99.99, -99.99,   54.3,   77.1,
      104,      00,   189507,    5.4,   77.8,   -.15,   1.22,   -.12,    .83,    400,      1,   -.16,   -.41,   -.17,    .09, -99.99, -99.99, -99.99,   67.7,   87.9,
      106,      00,   189507,   4.69,   79.3,   1.84,   1.84,   3.44,   1.84,    499,      0,   1.47,   1.59,   1.36,    .15, -99.99, -99.99, -99.99,   68.5,     90,
      107,      00,   189507,   2.35,   70.4,   4.58,   4.58,   4.23,   4.58,     78,     44,    .87,    .72,   1.32,    .19, -99.99, -99.99, -99.99,   56.6,   84.1,
      105,      00,   189508,   1.17,   65.1,   2.65,   2.65,   -.13,   2.53,    140,     74,  -1.07,  -1.24,   -.27,   -.68, -99.99, -99.99, -99.99,   49.3,   80.8,
      107,      00,   189508,      2,   70.6,   4.59,   4.59,   1.43,   4.59,     83,     31,    .01,    .61,    .53,    .08, -99.99, -99.99, -99.99,   56.7,   84.5,
      106,      00,   189508,   3.64,     80,   2.59,   2.59,   2.81,   2.59,    515,      1,    .82,   1.52,    1.8,    .51, -99.99, -99.99, -99.99,   67.9,     92,
      101,      00,   189508,   3.56,   66.7,  -2.14,  -2.14,   -.83,  -2.14,    181,     18,   -.18,   -.76,    -.9,   -1.4, -99.99, -99.99, -99.99,   55.2,   78.1,
      103,      00,   189508,   3.02,   74.5,  -1.69,  -1.69,   -.98,  -1.14,    280,      6,   -.63,    .46,    -.1,  -1.27, -99.99, -99.99, -99.99,   62.3,   86.6,
      109,      00,   189508,    .22,   71.8,   -.32,    .95,    -.5,    .25,    173,     15,   -.46,  -1.02,  -1.64,   -.45, -99.99, -99.99, -99.99,   56.9,   86.8,
      102,      00,   189508,   2.93,   67.2,  -2.11,  -2.11,  -1.33,  -2.11,    147,     39,   -.55,   -.97,  -1.02,  -1.53, -99.99, -99.99, -99.99,   54.1,   80.3,
      108,      00,   189508,    .29,   62.6,   -.96,   -.96,  -1.06,   -.96,     42,    107,   -.94,   -.77,     -2,   -.86, -99.99, -99.99, -99.99,   47.2,   77.9,
      104,      00,   189508,   5.86,   78.5,    .26,   1.36,    .79,   1.28,    421,      0,     .5,    .12,   -.08,    .59, -99.99, -99.99, -99.99,   68.5,   88.4,
      101,      00,   189509,   2.15,   61.6,  -2.94,  -2.94,  -3.06,  -2.94,     78,     68,  -1.29,   -1.2,  -1.41,  -1.44,  -1.88, -99.99, -99.99,   49.4,   73.8,
      109,      00,   189509,    .66,   63.3,   -.04,    1.1,    .74,     .7,     91,     63,    .72,    .22,   -.13,   -.23,    .65, -99.99, -99.99,   49.1,   77.5,
      104,      00,   189509,   1.93,   76.3,  -1.16,  -1.16,  -3.48,  -1.16,    345,      2,  -1.91,     -1,   -.97,   -.26,    .23, -99.99, -99.99,   65.4,   87.2,
      107,      00,   189509,     .7,   64.1,   3.61,   3.61,   -1.5,   2.99,     32,    118,  -1.12,   -.82,   -.13,   -.09,    .23, -99.99, -99.99,     49,   79.1,
      103,      00,   189509,   2.31,   70.7,   -2.3,   -2.3,  -2.35,   -2.3,    172,     29,   -.99,  -1.15,   -.27,  -1.29,   -1.7, -99.99, -99.99,   58.5,   82.9,
      102,      00,   189509,   3.51,   61.8,  -2.05,  -2.05,   -.46,  -2.05,     59,    104,    .25,   -.16,   -.55,     -1,  -1.49, -99.99, -99.99,   49.4,   74.1,
      108,      00,   189509,   2.34,   51.2,   -.09,   -.09,   2.32,    .77,      2,    314,    1.2,    .56,    .47,   -.12,   -.38, -99.99, -99.99,   40.1,   62.3,
      106,      00,   189509,   1.18,   76.5,  -1.02,    1.3,  -3.05,   -.05,    415,      3,  -1.87,   -.85,    .06,    .05,   -.22, -99.99, -99.99,   63.8,   89.3,
      105,      00,   189509,   1.03,     56,   2.08,   2.08,   -.89,   1.54,     67,    228,   -.76,  -1.33,  -1.56,   -.79,   -.52, -99.99, -99.99,   40.7,   71.3,
      105,      00,   189510,    .42,   42.7,   1.38,   1.38,  -1.44,    .22,      0,    652,  -1.81,  -1.63,  -1.97,  -1.21,  -1.23, -99.99, -99.99,   27.7,   57.8,
